Temps (s),Tension (V),Courant (A),Watt (W)
0,5.13313,0.08800,0.45171544
0,5.13306,0.08840,0.453329864
1,5.13281,0.08885,0.4560501685
2,5.13125,0.09213,0.4727420625
3,5.12938,0.09628,0.49385670640000007
4,5.12875,0.09772,0.50118145
5,5.12875,0.09775,0.5013353125000001
6,5.12875,0.09772,0.50118145
7,5.12875,0.09785,0.5018481875
8,5.12875,0.09830,0.504156125
9,5.12875,0.09850,0.505181875
10,5.12875,0.09875,0.5064640625000001
11,5.12875,0.09855,0.5054383125
12,5.12875,0.09828,0.5040535500000001
13,5.12875,0.09828,0.5040535500000001
14,5.12875,0.09803,0.5027713625000001
15,5.12875,0.09785,0.5018481875
16,5.12875,0.09785,0.5018481875
17,5.12875,0.09785,0.5018481875
18,5.12875,0.09800,0.5026175
19,5.12906,0.09732,0.49916011920000003
20,5.12962,0.09637,0.4943414794
