Temps (s),Tension (V),Courant (A),Watt (W)
0,5.135451,0.087851,0.450953124087
0,5.13481,0.087845,0.450963047197
1,5.134691,0.087824,0.450949102384
2,5.13406,0.08815,0.45256738900000004
3,5.13219,0.08968,0.46025479919999995
4,5.13094,0.09445,0.484617283
5,5.1300,0.09770,0.501201
6,5.13000,0.09755,0.5004315
7,5.1300,0.09778,0.5016114
8,5.1300,0.09772,0.5013036
9,5.12928,0.09825,0.50395176
10,5.12944,0.09870,0.506275728
11,5.12938,0.09872,0.5063723936000001
12,5.12931,0.09897,0.5076478107000001
13,5.12987,0.09895,0.5063651780179214
14,5.12956,0.09872,0.5063901632
15,5.12931,0.09877,0.5066219487
16,5.12938,0.09875,0.506526275
17,5.12894,0.09887,0.5070982978
18,5.12906,0.09887,0.5071101622
19,5.12938,0.09875,0.506526275
20,5.12931,0.09877,0.5066219487
21,5.12944,0.09873,0.5064296112
22,5.12937,0.09875,0.5065252875
23,5.12944,0.09868,0.5061731392
24,5.12931,0.09850,0.5052370350000001
25,5.12875,0.09875,0.5064640625000001
26,5.12944,0.09850,0.50524984
27,5.1300,0.09823,0.5039199
28,5.1300,0.09805,0.5029965
29,5.13000,0.09778,0.5016114
30,5.1300,0.09795,0.5024835
