Temps (s),Tension (V),Courant (A),Watt (W)
0,5.13375,0.08738,0.45789593584
0,5.13375,0.08801,0.45826321900000004
1,5.13375,0.08840,0.45382350000000005
2,5.13500,0.09040,0.46420399999999995
3,5.13612,0.09508,0.4883422896
4,5.13000,0.09508,0.491754
5,5.13000,0.09751,0.5014263
6,5.1300,0.09767,0.5010471000000001
7,5.12964,0.09755,0.500396382
8,5.12931,0.09780,0.503901068
9,5.12875,0.09825,0.5038996875
10,5.12875,0.09837,0.505181875
11,5.12875,0.09850,0.505181875
12,5.12931,0.09854,0.5055825848
13,5.12964,0.09823,0.5038845372
14,5.12931,0.09831,0.5056330161000005
15,5.12987,0.09819,0.5049382465000004
16,5.1300,0.09793,0.5023809
17,5.13000,0.09787,0.5020730999999999
18,5.13000,0.09725,0.4988925
19,5.13025,0.09618,0.493427445
